latitude,longitude,reference_mgal,notebook_baseline_mgal,notebook_prediction_mgal
43.96875,42.13125,142.5,114.98049,146.54514
43.96875,42.14375,142.55,115.2101,146.14317
43.96875,42.15625,154.4,126.37328,157.33868
43.96875,42.16875,163.35,135.79648,166.14613
43.96875,42.18125,177.5,149.08363,181.99777
43.96875,42.19375,180.89,151.86574,182.59706
43.96875,42.20625,180.16,151.71394,183.17427
43.96875,42.21875,181.88,153.8974,183.77892
43.96875,42.23125,189.75,161.95966,194.57886
43.96875,42.24375,178.6,149.11531,179.78906
43.96875,42.25625,167.71,138.70169,170.4874
43.96875,42.26875,153.01,126.012596,156.89912
43.96875,42.28125,151.67,122.230736,154.02446
43.96875,42.29375,137.13,109.80054,140.7887
43.96875,42.30625,131.6,104.43772,135.27051
43.96875,42.31875,137.27,109.02843,140.2569
43.96875,42.33125,148.27,120.474,149.2624
43.96875,42.34375,161.9,133.48767,163.32327
43.96875,42.35625,161.46,134.01227,162.00261
43.96875,42.36875,174.88,148.23009,177.73822
43.96875,42.38125,190.4,162.00601,195.47827
43.96875,42.39375,183.97,156.1488,187.71925
43.96875,42.40625,189.51,160.54408,194.13272
43.96875,42.41875,177.3,149.38217,180.85721
43.96875,42.43125,164.34,137.75797,168.59222
43.96875,42.44375,170.95,142.92249,173.30508
43.96875,42.45625,166.01,139.7077,170.42838
43.96875,42.46875,170.1,143.75328,174.84917
43.96875,42.48125,180.1,151.15392,184.3034
43.96875,42.49375,179.61,151.1521,183.1821
43.96875,42.50625,162.16,133.64888,162.13785
43.96875,42.51875,146.2,117.96437,147.31454
43.96875,42.53125,146.59,118.55582,147.84114
43.96875,42.54375,146.97,118.62572,147.37044
43.96875,42.55625,144.2,116.415825,144.9881
43.96875,42.56875,143.83,116.35296,144.98615
43.96875,42.58125,142.68,115.37156,144.09055
43.96875,42.59375,143.66,115.59638,144.66138
43.96875,42.60625,144.23,116.43094,145.33794
43.96875,42.61875,146.39,118.88468,147.59842
43.96875,42.63125,141.98,115.47153,144.15915
43.96875,42.64375,149.91,121.81892,151.53687
43.96875,42.65625,154.14,125.511185,155.80267
43.96875,42.66875,157.34,128.90337,160.23233
43.96875,42.68125,160.52,132.01561,164.44502
43.96875,42.69375,158.76,129.19778,162.44978
43.96875,42.70625,156.17,126.515755,158.4482
43.96875,42.71875,152.34,122.770096,154.6484
43.96875,42.73125,148.18,118.56624,148.3557
43.96875,42.74375,142.7,114.13512,143.38106
43.96875,42.75625,124.53,97.037506,124.37388
43.96875,42.76875,113.12,85.862915,114.77802
43.96875,42.78125,105.91,79.08405,107.95487
43.96875,42.79375,110.58,83.130424,110.934784
43.96875,42.80625,114.08,88.15113,115.377266
43.96875,42.81875,127.59,98.42369,128.2382
43.96875,42.83125,128.53,99.744576,129.9731
43.96875,42.84375,133.69,103.841156,135.88213
43.96875,42.85625,136.56,106.5056,139.6837
43.96875,42.86875,135.48,105.3972,138.03178
43.96875,42.88125,133.36,103.29001,136.12965
43.96875,42.89375,131.02,100.83992,133.78445
43.96875,42.90625,129.28,98.88092,131.64308
43.96875,42.91875,122.99,92.992546,124.78719
43.96875,42.93125,112.21,84.741936,115.36517
43.96875,42.94375,113.86,84.963425,115.49809
43.96875,42.95625,118.28,88.4611,119.82236
43.96875,42.96875,114.52,85.863525,117.05514
43.96875,42.98125,112.27,84.314125,116.36592
43.96875,42.99375,113.31,89.09978,104.673355
43.95625,42.00625,156.97,128.1879,160.66661
43.95625,42.01875,155.71,126.344246,156.82495
43.95625,42.03125,154.39,124.730705,155.05617
43.95625,42.04375,131.91,106.48804,135.52724
43.95625,42.05625,151.8,122.36716,153.15305
43.95625,42.06875,156.57,126.33074,159.83691
43.95625,42.08125,158.26,128.22939,161.19754
